事件,事件名,代码,类型,状态,T0日期,前20日,T0当日,T+5,T+20,T+60,T+120,最大回撤,回撤窗口完整,日均成交额,超额T+5,超额T+20,超额T+60,超额T+120,超额前20日
E1,沙特 Abqaiq 油田遇袭,RNR,股票,ok,2019-09-16,-0.005564298267555778,-0.005255976546337027,0.03030143330332291,0.027566493020348082,0.025796359756593557,-0.12894778425489029,-0.19809095757972428,True,60304805.442225136,0.03529300269809299,0.04009857085582669,-0.02032937862297901,-0.04844358691361805,-0.06331927655026093
E1,沙特 Abqaiq 油田遇袭,EG,股票,ok,2019-09-16,0.04527184869223633,-0.005616533252877254,0.03358145407958979,-0.022543871212013067,0.06036754096965269,-0.07901408647922992,-0.19538685926935395,True,70040056.13230388,0.03857302347435987,-0.010011793376534461,0.014241802590080122,0.0014901108620423154,-0.012483129590468822
E1,沙特 Abqaiq 油田遇袭,SPY(基准),基准,ok,2019-09-16,0.05775497828270515,-0.0030885651356866717,-0.004991569394770079,-0.012532077835478606,0.04612573837957257,-0.08050419734127223,-0.1894838055818827,True,20461513801.97347,,,,,
E2,苏伊士运河长赐号搁浅,ZIM,股票,ok,2021-03-23,0.2837969894402723,-0.13778946137903003,-0.0806572492426163,0.1071693055770988,0.6000742962692815,1.286085267001671,-0.292603204895325,True,18357332.09197328,-0.08610807102133777,0.0473615479272238,0.5252381446809633,1.144841277391309,0.26610865157269803
E2,苏伊士运河长赐号搁浅,MATX,股票,ok,2021-03-23,-0.04283656809959413,-0.05687119943430918,-0.07064158280621291,-0.06623495409966207,-0.1401900103782916,0.17824560738610407,-0.1777137854670352,True,16884472.333316803,-0.07609240458493438,-0.12604271174953707,-0.21502616196660984,0.03700161777574218,-0.06052490596716842
E2,苏伊士运河长赐号搁浅,BDRY,期货滚动ETF,ok,2021-03-23,0.387190668373008,-0.12381945273502892,-0.1343126724907182,0.14795381814481012,0.472717758727196,0.6175236509736035,-0.2319177144216824,True,2814354.0642905235,-0.13976349426943968,0.08814606049493512,0.39788160713887777,0.4762796613632416,0.3695023305054337
E2,苏伊士运河长赐号搁浅,STNG,股票,ok,2021-03-23,0.21270508838286162,-0.05797095139943531,-0.03312632172918595,-0.03830211415275098,0.10822448340586277,-0.14012280046682257,-0.4261549486756874,True,25280814.64462757,-0.03857714350790742,-0.09810987180262598,0.033388331817544525,-0.28136679007718446,0.19501675051528733
E2,苏伊士运河长赐号搁浅,FRO,股票,ok,2021-03-23,0.08963572412679022,-0.0655525673931936,-0.08483270290395695,-0.04113087280116312,0.0912598295165381,-0.0012853008898182638,-0.19777799649353056,True,14591759.705607096,-0.09028352468267842,-0.10093863045103812,0.01642367792821986,-0.14252929050018015,0.07194738625921593
E2,苏伊士运河长赐号搁浅,GNK,股票,ok,2021-03-23,0.13681113329595584,-0.12648541906037325,-0.14601007753070772,0.167232446240827,0.5781423490840987,0.817337697093026,-0.20389796937343008,True,9030425.055961609,-0.1514608993094292,0.107424688590952,0.5033061974957804,0.6760937074826641,0.11912279542838156
E2,苏伊士运河长赐号搁浅,SBLK,股票,ok,2021-03-23,0.1965688865075852,-0.17084818426281334,-0.10872151378917505,0.05914019380243585,0.3716195267648572,0.5175696276418045,-0.2884694272944188,True,15744406.495960554,-0.11417233556789652,-0.0006675638474391565,0.29678337517653897,0.3763256380314426,0.1788805486400109
E2,苏伊士运河长赐号搁浅,CL=F,期货合约,ok,2021-03-23,0.0009757286868763426,-0.061575970146321324,-0.016246953897570138,-0.0032494031749561447,0.1541836197579134,0.14459785250204793,-0.17182724658040904,True,22623554.66983897,-0.02169777567629161,-0.06305716082483115,0.07934746816959515,0.0033538628916860436,-0.016712609180697946
E2,苏伊士运河长赐号搁浅,SPY(基准),基准,ok,2021-03-23,0.01768833786757429,-0.007870915221380614,0.005450821778721471,0.059807757649875004,0.07483615158831824,0.1412439896103619,-0.03958579455974509,True,29942869738.200787,,,,,
E3,俄乌战争爆发,FRO,股票,ok,2022-02-24,0.29725605915699127,0.055229190022745955,0.07168056432106829,-0.02820183357868644,0.027027112675455545,0.4359578030045781,-0.29221346368276047,True,13286877.280436357,0.039070285387368786,-0.09915678146746898,0.10075517105459297,0.41729663034095843,0.3260726962679221
E3,俄乌战争爆发,STNG,股票,ok,2022-02-24,0.2587301664652448,0.07818422830791105,0.18208119127293587,0.2676933871784557,0.85368448405689,1.5137064164591942,-0.22080330507814327,True,13344991.745538712,0.14947091233923637,0.19673843928967316,0.9274125424360274,1.4950452437955746,0.2875468035761757
E3,俄乌战争爆发,TRMD,股票,ok,2022-02-24,0.041251839802331824,0.021857870121654743,0.1707648304317506,0.18442624012885434,0.7841532086185994,1.670765129444113,-0.23600820210877638,True,1322412.9314875603,0.13815455149805111,0.1134712922400718,0.8578812669977368,1.6521039567804934,0.07006847691326268
E3,俄乌战争爆发,INSW,股票,ok,2022-02-24,0.17852066806302602,0.06276398151369844,0.09233561980237259,0.02030294327897697,0.4211576502534493,0.8280902455383665,-0.2643655663050276,True,8431975.275549889,0.059725340868673094,-0.05065200460980557,0.49488570863258674,0.8094290728747469,0.20733730517395688
